item_name,category,image_url,price_twd,calories_kcal,protein_g,fat_g,saturated_fat_g,trans_fat_g,carb_g,sodium_mg,nutrition_json,detail_url,source_page,crawled_at
茉莉綠茶,找好茶,http://50lan.com/web/bookpic/20092262013741012.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:14.905144+00:00
阿薩姆紅茶,找好茶,http://50lan.com/web/bookpic/20092262013741012.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:14.905359+00:00
四季春青茶,找好茶,http://50lan.com/web/bookpic/20092262013741012.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:14.905502+00:00
黃金烏龍,找好茶,http://50lan.com/web/bookpic/20092262013741012.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:14.905636+00:00
檸檬綠,找好茶,http://50lan.com/web/bookpic/20092262013741012.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:14.905947+00:00
梅ソ綠,找好茶,http://50lan.com/web/bookpic/20092262013741012.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:14.906183+00:00
桔子綠,找好茶,http://50lan.com/web/bookpic/20092262013741012.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:14.906358+00:00
8冰綠,找好茶,http://50lan.com/web/bookpic/20092262013741012.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:14.906489+00:00
養樂多綠,找好茶,http://50lan.com/web/bookpic/20092262013741012.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null, ""availability_note"": ""僅限冷飲""}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:14.906648+00:00
冰淇淋紅茶,找好茶,http://50lan.com/web/bookpic/20092262013741012.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null, ""availability_note"": ""僅限冷飲""}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:14.906796+00:00
旺來紅,找好茶,http://50lan.com/web/bookpic/20092262013741012.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:14.907144+00:00
鮮柚綠(季節限定),找好茶,http://50lan.com/web/bookpic/20092262013741012.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null, ""availability_note"": ""僅限冷飲""}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:14.907371+00:00
奶茶,找奶茶,http://50lan.com/web/bookpic/200922620132321621.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:14.908483+00:00
奶綠,找奶茶,http://50lan.com/web/bookpic/200922620132321621.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:14.909001+00:00
紅茶瑪奇朵,找奶茶,http://50lan.com/web/bookpic/200922620132321621.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:14.909269+00:00
烏龍瑪奇朵,找奶茶,http://50lan.com/web/bookpic/200922620132321621.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:14.909448+00:00
四季奶青,找奶茶,http://50lan.com/web/bookpic/200922620132321621.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:14.909608+00:00
黃金烏龍奶茶,找奶茶,http://50lan.com/web/bookpic/200922620132321621.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:14.909769+00:00
