item_name,category,image_url,price_twd,calories_kcal,protein_g,fat_g,saturated_fat_g,trans_fat_g,carb_g,sodium_mg,nutrition_json,detail_url,source_page,crawled_at
經典美式咖啡(熱),McCafé®,https://s7d1.scene7.com/is/image/mcdonalds/0524經典美式咖啡:nutrition-calculator-tile,,15.01,0.9,0.3,0.1,0.0,2.2,,"{""calories_kcal"": 15.01, ""protein_g"": 0.9, ""fat_g"": 0.3, ""saturated_fat_g"": 0.1, ""trans_fat_g"": 0.0, ""carb_g"": 2.2, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/americano.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422516+00:00
蘋果派,點心,https://s7d1.scene7.com/is/image/mcdonalds/apple-pie_832x822:nutrition-calculator-tile,,216.84,2.0,9.2,3.0,0.1,32.0,,"{""calories_kcal"": 216.84, ""protein_g"": 2.0, ""fat_g"": 9.2, ""saturated_fat_g"": 3.0, ""trans_fat_g"": 0.1, ""carb_g"": 32.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/apple-pie.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422575+00:00
蘋果派+可樂(小),1+1星級點,https://s7d1.scene7.com/is/image/mcdonalds/832x822_BA_1129_09_蘋果派_可樂(小)-:nutrition-calculator-tile,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/meal/apple-pie-and-coke.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422599+00:00
番茄嫩蛋焙果堡,早餐,https://s7d1.scene7.com/is/image/mcdonalds/bagel-burger-with-cheese_832x822:nutrition-calculator-tile,,452.13,20.0,17.0,8.2,0.3,53.0,,"{""calories_kcal"": 452.13, ""protein_g"": 20.0, ""fat_g"": 17.0, ""saturated_fat_g"": 8.2, ""trans_fat_g"": 0.3, ""carb_g"": 53.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/bagel-burger-with-cheese.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422619+00:00
蕈菇嫩蛋焙果堡,早餐,https://s7d1.scene7.com/is/image/mcdonalds/早餐蕈菇嫩蛋焙果堡1206:nutrition-calculator-tile,,478.45,22.0,19.0,8.4,0.3,56.0,,"{""calories_kcal"": 478.45, ""protein_g"": 22.0, ""fat_g"": 19.0, ""saturated_fat_g"": 8.4, ""trans_fat_g"": 0.3, ""carb_g"": 56.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/bagel-burger-with-mushroom.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422638+00:00
大麥克®,超值全餐,https://s7d1.scene7.com/is/image/mcdonalds/big-mac_832x822_2:nutrition-calculator-tile,,503.17,26.0,25.0,11.0,0.6,43.0,,"{""calories_kcal"": 503.17, ""protein_g"": 26.0, ""fat_g"": 25.0, ""saturated_fat_g"": 11.0, ""trans_fat_g"": 0.6, ""carb_g"": 43.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/big-mac.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422652+00:00
BLT 安格斯牛肉堡,極選系列,https://s7d1.scene7.com/is/image/mcdonalds/1220signature832x822_1:nutrition-calculator-tile,,543.46,29.0,29.0,12.0,0.5,41.0,,"{""calories_kcal"": 543.46, ""protein_g"": 29.0, ""fat_g"": 29.0, ""saturated_fat_g"": 12.0, ""trans_fat_g"": 0.5, ""carb_g"": 41.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/blt-angus-beef-burger.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422666+00:00
BLT 嫩煎鷄腿堡,極選系列,https://s7d1.scene7.com/is/image/mcdonalds/1220signature8832x822_3:nutrition-calculator-tile,,456.73,27.0,20.0,5.6,0.0,42.0,,"{""calories_kcal"": 456.73, ""protein_g"": 27.0, ""fat_g"": 20.0, ""saturated_fat_g"": 5.6, ""trans_fat_g"": 0.0, ""carb_g"": 42.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/blt-grilled-chicken-burger.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422680+00:00
漢堡Happy Meal®,Happy Meal®,https://s7d1.scene7.com/is/image/mcdonalds/1024漢堡餐組:nutrition-calculator-tile,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/meal/burger-happy-meal.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422692+00:00
經典卡布奇諾(熱),McCafé®,https://s7d1.scene7.com/is/image/mcdonalds/別具滋味頁_經典卡布奇諾(熱)_832x8222023:nutrition-calculator-tile,,148.25,7.6,7.9,4.8,0.1,12.0,,"{""calories_kcal"": 148.25, ""protein_g"": 7.6, ""fat_g"": 7.9, ""saturated_fat_g"": 4.8, ""trans_fat_g"": 0.1, ""carb_g"": 12.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/cappuccino.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422706+00:00
焦糖奶茶(冰),McCafé®,https://s7d1.scene7.com/is/image/mcdonalds/832x822_別具滋味產品圖_焦糖奶茶冰n1:nutrition-calculator-tile,,156.53,2.2,2.0,1.3,0.0,32.0,,"{""calories_kcal"": 156.53, ""protein_g"": 2.2, ""fat_g"": 2.0, ""saturated_fat_g"": 1.3, ""trans_fat_g"": 0.0, ""carb_g"": 32.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/caramel-milk-tea-iced.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422719+00:00
吉事漢堡,點心,https://s7d1.scene7.com/is/image/mcdonalds/cheese-burger_832x822:nutrition-calculator-tile,,325.0,16.0,14.0,6.9,0.4,34.0,,"{""calories_kcal"": 325.0, ""protein_g"": 16.0, ""fat_g"": 14.0, ""saturated_fat_g"": 6.9, ""trans_fat_g"": 0.4, ""carb_g"": 34.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/cheese-burger.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422733+00:00
吉事漢堡+紅茶(熱),1+1星級點,https://s7d1.scene7.com/is/image/mcdonalds/832x822_BA_1129_02_吉事漢堡_紅茶(熱):nutrition-calculator-tile,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/meal/cheese-burger-and-hot-black-tea.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422744+00:00
原味麥脆鷄腿(2塊),點心,https://s7d1.scene7.com/is/image/mcdonalds/832x822_原味麥脆鷄腿2pc2023:nutrition-calculator-tile,,699.81,43.0,46.0,13.0,0.0,28.0,,"{""calories_kcal"": 699.81, ""protein_g"": 43.0, ""fat_g"": 46.0, ""saturated_fat_g"": 13.0, ""trans_fat_g"": 0.0, ""carb_g"": 28.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/chicken-mccrispy-2-pieces.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422756+00:00
原味麥脆鷄腿(棒腿),點心,https://s7d1.scene7.com/is/image/mcdonalds/chicken-mccrispy-drumstick-1-pieces-0321:nutrition-calculator-tile,,275.09,18.0,17.0,4.9,0.0,11.0,,"{""calories_kcal"": 275.09, ""protein_g"": 18.0, ""fat_g"": 17.0, ""saturated_fat_g"": 4.9, ""trans_fat_g"": 0.0, ""carb_g"": 11.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/chicken-mccrispy-drumstick-1-pieces.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422769+00:00
麥脆鷄腿分享盒(6塊),麥當勞分享盒,https://s7d1.scene7.com/is/image/mcdonalds/chicken-mccrispy-sharing-box-6-pieces_832x822:nutrition-calculator-tile,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/meal/chicken-mccrispy-sharing-box-6-pieces.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422780+00:00
勁脆配餐：麥脆鷄腿一塊(棒腿或大腿)+$38冷/熱飲,超值全餐配餐,https://s7d1.scene7.com/is/image/mcdonalds/832x822_BA_chicken-mccrispy-side-order:nutrition-calculator-tile,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/meal/chicken-mccrispy-side-order.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422791+00:00
原味麥脆鷄腿(大腿),點心,https://s7d1.scene7.com/is/image/mcdonalds/1220原味大腿832x822_1:nutrition-calculator-tile,,424.73,25.0,29.0,7.9,0.0,16.0,,"{""calories_kcal"": 424.73, ""protein_g"": 25.0, ""fat_g"": 29.0, ""saturated_fat_g"": 7.9, ""trans_fat_g"": 0.0, ""carb_g"": 16.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/chicken-mccrispy-thigh-1-pieces.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.422803+00:00
