item_name,category,image_url,price_twd,calories_kcal,protein_g,fat_g,saturated_fat_g,trans_fat_g,carb_g,sodium_mg,nutrition_json,detail_url,source_page,crawled_at
桂香原片青,季節限定 season limited,https://www.milksha.com/upload/product/2511031626250000001.png,50,183,,,,,,,"{""calories_kcal"": 183, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=13,https://www.milksha.com/products.php,2026-04-04T14:53:55.428222+00:00
桂香輕蕎麥,季節限定 season limited,https://www.milksha.com/upload/product/2511031627350000001.png,55,142,,,,,,,"{""calories_kcal"": 142, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=13,https://www.milksha.com/products.php,2026-04-04T14:53:55.428275+00:00
桂香青檸粉粿,季節限定 season limited,https://www.milksha.com/upload/product/2511031627510000001.png,65,297,,,,,,,"{""calories_kcal"": 297, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=13,https://www.milksha.com/products.php,2026-04-04T14:53:55.428301+00:00
娜杯桂香拿鐵,季節限定 season limited,https://www.milksha.com/upload/product/2511031628470000001.png,75,252,,,,,,,"{""calories_kcal"": 252, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=13,https://www.milksha.com/products.php,2026-04-04T14:53:55.428320+00:00
靜岡焙焙鮮奶,季節限定 season limited,https://www.milksha.com/upload/product/2511031629070000001.png,90,407,,,,,,,"{""calories_kcal"": 407, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=13,https://www.milksha.com/products.php,2026-04-04T14:53:55.428337+00:00
靜岡焙焙烏龍拿鐵,季節限定 season limited,https://www.milksha.com/upload/product/2511031629210000001.png,75,291,,,,,,,"{""calories_kcal"": 291, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=13,https://www.milksha.com/products.php,2026-04-04T14:53:55.428353+00:00
香芋仙草綠茶拿鐵,季節限定 season limited,https://www.milksha.com/upload/product/2511031629430000001.png,75,417,,,,,,,"{""calories_kcal"": 417, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=13,https://www.milksha.com/products.php,2026-04-04T14:53:55.428367+00:00
水之森玄米抹茶,愛茶的牛 Tea,https://www.milksha.com/upload/product/2411051605220000001.png,50,144,,,,,,,"{""calories_kcal"": 144, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=1,https://www.milksha.com/products.php,2026-04-04T14:53:55.428393+00:00
娜杯紅茶,愛茶的牛 Tea,https://www.milksha.com/upload/product/2208260927410000001.png,45,176,,,,,,,"{""calories_kcal"": 176, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=1,https://www.milksha.com/products.php,2026-04-04T14:53:55.428408+00:00
英倫伯爵紅茶,愛茶的牛 Tea,https://www.milksha.com/upload/product/2208260929220000001.png,40,225,,,,,,,"{""calories_kcal"": 225, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",https://www.milksha.com/products_detail.php?cID=1,https://www.milksha.com/products.php,2026-04-04T14:53:55.428422+00:00
