item_name,category,image_url,price_twd,calories_kcal,protein_g,fat_g,saturated_fat_g,trans_fat_g,carb_g,sodium_mg,nutrition_json,detail_url,source_page,crawled_at
超級大麥牛蒡培根珍珠堡,主餐,https://www.mos.com.tw/upload/product/20260320_180615_064.jpg,95,377.3,9.2,11.7,4.0,0.0,58.7,442.0,"{""calories_kcal"": 377.3, ""protein_g"": 9.2, ""fat_g"": 11.7, ""saturated_fat_g"": 4.0, ""trans_fat_g"": 0.0, ""carb_g"": 58.7, ""sodium_mg"": 442.0}",https://www.mos.com.tw/menu/set_detail.aspx?id=M001210,https://www.mos.com.tw/menu/set.aspx,2026-04-04T12:16:34.720013+00:00
牛蒡培根珍珠堡,主餐,https://www.mos.com.tw/upload/product/20260320_181704_031.jpg,95,392.9,10.2,11.7,4.0,0.0,61.7,470.0,"{""calories_kcal"": 392.9, ""protein_g"": 10.2, ""fat_g"": 11.7, ""saturated_fat_g"": 4.0, ""trans_fat_g"": 0.0, ""carb_g"": 61.7, ""sodium_mg"": 470.0}",https://www.mos.com.tw/menu/set_detail.aspx?id=M001211,https://www.mos.com.tw/menu/set.aspx,2026-04-04T12:16:35.247080+00:00
炸和牛棒球堡,主餐,https://www.mos.com.tw/upload/product/20260224_140141_047.jpg,145,503.9,14.2,32.2,10.6,0.6,39.6,680.0,"{""calories_kcal"": 503.9, ""protein_g"": 14.2, ""fat_g"": 32.2, ""saturated_fat_g"": 10.6, ""trans_fat_g"": 0.6, ""carb_g"": 39.6, ""sodium_mg"": 680.0}",https://www.mos.com.tw/menu/set_detail.aspx?id=M001202,https://www.mos.com.tw/menu/set.aspx,2026-04-04T12:16:35.772773+00:00
雙重起司披薩熱狗堡,主餐,https://www.mos.com.tw/upload/product/20260224_135859_046.jpg,105,489.0,23.9,26.5,12.9,0.3,38.7,883.0,"{""calories_kcal"": 489.0, ""protein_g"": 23.9, ""fat_g"": 26.5, ""saturated_fat_g"": 12.9, ""trans_fat_g"": 0.3, ""carb_g"": 38.7, ""sodium_mg"": 883.0}",https://www.mos.com.tw/menu/set_detail.aspx?id=M001201,https://www.mos.com.tw/menu/set.aspx,2026-04-04T12:16:36.295995+00:00
海老雙蝦堡,主餐,https://www.mos.com.tw/upload/product/20260107_160906_091.jpg,105,364.9,13.6,15.0,5.9,0.0,44.1,794.0,"{""calories_kcal"": 364.9, ""protein_g"": 13.6, ""fat_g"": 15.0, ""saturated_fat_g"": 5.9, ""trans_fat_g"": 0.0, ""carb_g"": 44.1, ""sodium_mg"": 794.0}",https://www.mos.com.tw/menu/set_detail.aspx?id=M001185,https://www.mos.com.tw/menu/set.aspx,2026-04-04T12:16:36.820362+00:00
柚香明太子海洋珍珠堡,主餐,https://www.mos.com.tw/upload/product/20260107_160640_084.jpg,105,445.1,9.7,16.1,4.2,0.1,65.4,517.0,"{""calories_kcal"": 445.1, ""protein_g"": 9.7, ""fat_g"": 16.1, ""saturated_fat_g"": 4.2, ""trans_fat_g"": 0.1, ""carb_g"": 65.4, ""sodium_mg"": 517.0}",https://www.mos.com.tw/menu/set_detail.aspx?id=M001184,https://www.mos.com.tw/menu/set.aspx,2026-04-04T12:16:37.345746+00:00
摘鮮綠元氣牛肉堡,主餐,https://www.mos.com.tw/upload/product/20250327_120953_092.jpg,115,396.1,20.3,30.6,12.6,0.4,10.1,501.0,"{""calories_kcal"": 396.1, ""protein_g"": 20.3, ""fat_g"": 30.6, ""saturated_fat_g"": 12.6, ""trans_fat_g"": 0.4, ""carb_g"": 10.1, ""sodium_mg"": 501.0}",https://www.mos.com.tw/menu/set_detail.aspx?id=M001100,https://www.mos.com.tw/menu/set.aspx,2026-04-04T12:16:37.869987+00:00
摘鮮綠元氣摩力堡,主餐,https://www.mos.com.tw/upload/product/20230629_171848_075.jpg,95,203.1,15.0,11.3,3.8,1.2,10.7,684.0,"{""calories_kcal"": 203.1, ""protein_g"": 15.0, ""fat_g"": 11.3, ""saturated_fat_g"": 3.8, ""trans_fat_g"": 1.2, ""carb_g"": 10.7, ""sodium_mg"": 684.0}",https://www.mos.com.tw/menu/set_detail.aspx?id=M000985,https://www.mos.com.tw/menu/set.aspx,2026-04-04T12:16:38.394207+00:00
摘鮮綠摩斯炸蝦堡,主餐,https://www.mos.com.tw/upload/product/20231005_200811_042.jpg,85,208.0,6.4,11.4,4.0,0.0,20.5,439.0,"{""calories_kcal"": 208.0, ""protein_g"": 6.4, ""fat_g"": 11.4, ""saturated_fat_g"": 4.0, ""trans_fat_g"": 0.0, ""carb_g"": 20.5, ""sodium_mg"": 439.0}",https://www.mos.com.tw/menu/set_detail.aspx?id=M000000,https://www.mos.com.tw/menu/set.aspx,2026-04-04T12:16:38.916563+00:00
摘鮮綠烤雞起司堡,主餐,https://www.mos.com.tw/upload/product/20220707_101558_015.jpg,95,280.9,15.4,19.5,6.3,0.2,11.4,674.0,"{""calories_kcal"": 280.9, ""protein_g"": 15.4, ""fat_g"": 19.5, ""saturated_fat_g"": 6.3, ""trans_fat_g"": 0.2, ""carb_g"": 11.4, ""sodium_mg"": 674.0}",https://www.mos.com.tw/menu/set_detail.aspx?id=M000856,https://www.mos.com.tw/menu/set.aspx,2026-04-04T12:16:39.436643+00:00
